"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5201","test_fail","testcases","Sun Sep 13 20:05:51 UTC 2026","skipped","Sun Sep 13 20:05:56 UTC 2026","","test_fail","",""
"","0","test_logout","testcases","Sun Sep 13 20:05:57 UTC 2026","passed","Sun Sep 13 20:05:57 UTC 2026","","test_fixture","",""
"","164","test_locator","testcases","Sun Sep 13 20:05:58 UTC 2026","broken","Sun Sep 13 20:05:58 UTC 2026","","test_locator","",""
"","2172","test_login","testcases","Sun Sep 13 20:05:58 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_login","",""
"","0","test_login_users[user2]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_parametrize","",""
"","1","test_yaml","testcases","Sun Sep 13 20:05:51 UTC 2026","passed","Sun Sep 13 20:05:51 UTC 2026","","test_data","",""
"","0","test_login[case2]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_login_data","",""
"","7264","test_baidu_title","testcases","Sun Sep 13 20:05:43 UTC 2026","passed","Sun Sep 13 20:05:51 UTC 2026","","test_baidu","",""
"","1","test_read_yaml","testcases","Sun Sep 13 20:05:51 UTC 2026","passed","Sun Sep 13 20:05:51 UTC 2026","","test_data_reader","",""
"","163","test_get_api","testcases","Sun Sep 13 20:05:41 UTC 2026","passed","Sun Sep 13 20:05:41 UTC 2026","","test_api_demo","",""
"","0","test_login_users[user0]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_parametrize","",""
"","1","test_config","testcases","Sun Sep 13 20:05:51 UTC 2026","passed","Sun Sep 13 20:05:51 UTC 2026","","test_config","",""
"","0","test_login_users[user1]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_parametrize","",""
"","0","test_login[case1]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_login_data","",""
"","164","test_github_user_api","testcases","Sun Sep 13 20:05:41 UTC 2026","passed","Sun Sep 13 20:05:42 UTC 2026","","test_api_user","",""
"","0","test_logger","testcases","Sun Sep 13 20:05:58 UTC 2026","passed","Sun Sep 13 20:05:58 UTC 2026","","test_logger","",""
"","0","test_login[case0]","testcases","Sun Sep 13 20:06:00 UTC 2026","passed","Sun Sep 13 20:06:00 UTC 2026","","test_login_data","",""
"","0","test_order","testcases","Sun Sep 13 20:05:57 UTC 2026","passed","Sun Sep 13 20:05:57 UTC 2026","","test_fixture","",""
